0,8.9,0,18.5,0,0,0,0,0,0,0,0,0,0,0
8.9,0,9.2,0,0,0,0,0,0,0,0,0,0,0,0
0,9.2,0,0,0,5.8,0,0,0,0,0,0,0,12.8,0
18.5,0,0,0,13.1,17.9,0,0,0,0,0,0,0,0,0
0,0,0,13.1,0,7.8,8.4,8.6,0,0,0,0,0,0,0
0,0,5.8,17.9,7.8,0,3.5,0,0,0,0,0,0,13.3,0
0,0,0,0,8.4,3.5,0,7.1,4.7,5,0,0,0,0,0
0,0,0,0,8.6,0,7.1,0,0,0,0,15.1,0,0,0
0,0,0,0,0,0,4.7,0,0,1.4,0,0,10.4,5.8,0
0,0,0,0,0,0,5,0,1.4,0,2.1,0,10,0,0
0,0,0,0,0,0,0,0,0,2.1,0,2.5,0,0,0
0,0,0,0,0,0,0,15.1,0,0,2.5,0,10.1,0,1.2
0,0,0,0,0,0,0,0,10.4,9.8,0,10.1,0,12.5,0
0,0,12.8,0,0,13.3,0,0,5.8,0,0,0,12.5,0,0
0,0,0,0,0,0,0,0,0,0,0,1.2,0,0,0
